age_sex_grp,lifestage,sex,age_lower_yrs,age_upper_yrs,lipids_lower,lipids_upper,carbohydrate_lower,carbohydrate_upper,protein_lower,protein_upper
1,Infant,all,0,0.499,.,.,.,.,.,.
2,Infant,all,0.5,1,.,.,.,.,.,.
3,Child,all,1,2,30,40,45,65,5,20
4,Child,Male,3,3,30,40,45,65,5,20
5,Child,Female,3,3,30,40,45,65,5,20
6,Child,Male,4,8,25,35,45,65,10,30
7,Child,Female,4,8,25,35,45,65,10,30
8,Adolescent,Male,9,13,25,35,45,65,10,30
9,Adolescent,Male,14,18,25,35,45,65,10,30
10,Adult,Male,19,30,20,35,45,65,10,35
11,Adult,Male,31,50,20,35,45,65,10,35
12,Adult,Male,51,69,20,35,45,65,10,35
13,Older Adult,Male,70,.,20,35,45,65,10,35
14,Adolescent,Female,9,13,20,35,45,65,10,30
15,Adolescent,Female,14,18,20,35,45,65,10,30
16,Adult,Female,19,30,20,35,45,65,10,35
17,Adult,Female,31,50,20,35,45,65,10,35
18,Adult,Female,51,69,20,35,45,65,10,35
19,Older Adult,Female,70,.,20,35,45,65,10,35
20,Pregnancy,Female,14,18,20,35,45,65,10,35
21,Pregnancy,Female,19,30,20,35,45,65,10,35
22,Pregnancy,Female,31,50,20,35,45,65,10,35
23,Lactation,Female,14,18,20,35,45,65,10,35
24,Lactation,Female,19,30,20,35,45,65,10,35
25,Lactation,Female,31,50,20,35,45,65,10,35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
