age_sex_grp,lifestage,sex,age_lower_yrs,age_upper_yrs,vitA,vitC,vitE,thiamin,riboflavin,niacin,vitB6,folate,vitB12,calcium,copper,iron,magnesium,phosphorus,selenium,zinc,sodium
1,Infant,all,0,0.499,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,Infant,all,0.5,1,.,.,.,.,.,.,.,.,.,.,.,6.9,.,.,.,2.5,.
3,Child,all,1,2,210,13,5,0.4,0.4,5,0.4,120,0.7,500,0.26,3,65,380,17,2.5,.
4,Child,Male,3,3,210,13,5,0.4,0.4,5,0.4,120,0.7,500,0.26,3,65,380,17,2.5,.
5,Child,Female,3,3,210,13,5,0.4,0.4,5,0.4,120,0.7,500,0.26,3,65,380,17,2.5,.
6,Child,Male,4,8,275,22,6,0.5,0.5,6,0.5,160,1,800,0.34,4.1,110,405,23,4,.
7,Child,Female,4,8,275,22,6,0.5,0.5,6,0.5,160,1,800,0.34,4.1,110,405,23,4,.
8,Adolescent,Male,9,13,445,39,9,0.7,0.8,9,0.8,250,1.5,1100,0.54,5.9,200,1055,35,7,.
9,Adolescent,Male,14,18,630,63,12,1,1.1,12,1.1,330,2,1100,0.685,7.7,340,1055,45,8.5,.
10,Adult,Male,19,30,625,75,12,1,1.1,12,1.1,320,2,800,0.7,6,330,580,45,9.4,.
11,Adult,Male,31,50,625,75,12,1,1.1,12,1.1,320,2,800,0.7,6,350,580,45,9.4,.
12,Adult,Male,51,69,625,75,12,1,1.1,12,1.4,320,2,800,0.7,6,350,580,45,9.4,.
13,Older Adult,Male,70,.,625,75,12,1,1.1,12,1.4,320,2,1000,0.7,6,350,580,45,9.4,.
14,Adolescent,Female,9,13,420,39,9,0.7,0.8,9,0.8,250,1.5,1100,0.54,5.7,200,1055,35,7,.
15,Adolescent,Female,14,18,485,56,12,0.9,0.9,11,1,330,2,1100,0.685,7.9,300,1055,45,7.3,.
16,Adult,Female,19,30,500,60,12,0.9,0.9,11,1.1,320,2,800,0.7,8.1,255,580,45,6.8,.
17,Adult,Female,31,50,500,60,12,0.9,0.9,11,1.1,320,2,800,0.7,8.1,265,580,45,6.8,.
18,Adult,Female,51,69,500,60,12,0.9,0.9,11,1.3,320,2,1000,0.7,5,265,580,45,6.8,.
19,Older Adult,Female,70,.,500,60,12,0.9,0.9,11,1.3,320,2,1000,0.7,5,265,580,45,6.8,.
20,Pregnancy,Female,14,18,530,66,12,1.2,1.2,14,1.6,520,2.2,1000,0.785,23,335,1055,49,10.5,.
21,Pregnancy,Female,19,30,550,70,12,1.2,1.2,14,1.6,520,2.2,800,0.8,22,290,580,49,9.5,.
22,Pregnancy,Female,31,50,550,70,12,1.2,1.2,14,1.6,520,2.2,800,0.8,22,300,580,49,9.5,.
23,Lactation,Female,14,18,885,96,16,1.2,1.3,13,1.7,450,2.4,1000,0.985,7,300,1055,59,10.9,.
24,Lactation,Female,19,30,900,100,16,1.2,1.3,13,1.7,450,2.4,800,1,6.5,255,580,59,10.4,.
25,Lactation,Female,31,50,900,100,16,1.2,1.3,13,1.7,450,2.4,800,1,6.5,265,580,59,10.4,.
