age_sex_grp,lifestage,sex,age_lower_yrs,age_upper_yrs,vitA,vitC,vitE,thiamin,riboflavin,niacin,vitB6,folate,vitB12,calcium,copper,iron,magnesium,phosphorys,selenium,zinc,sodium
1,Infant,,0,0.499,400,40,4,0.2,0.3,2,0.1,65,0.4,200,0.2,0.27,30,100,15,2,.
2,Infant,,0.5,1,500,50,5,0.3,0.4,4,0.3,80,0.5,260,0.22,11,75,275,20,3,.
3,Child,,1,3,300,15,6,0.5,0.5,6,0.5,150,0.9,700,0.34,7,80,460,20,3,.
4,Child,Male,3,3,300,15,6,0.5,0.5,6,0.5,150,0.9,700,0.34,7,80,460,20,3,.
5,Child,Female,3,3,300,15,6,0.5,0.5,6,0.5,150,0.9,700,0.34,7,80,460,20,3,.
6,Child,Male,4,8,400,25,7,0.6,0.6,8,0.6,200,1.2,1000,0.44,10,130,500,30,5,.
7,Child,Female,4,8,400,25,7,0.6,0.6,8,0.6,200,1.2,1000,0.44,10,130,500,30,5,.
8,Adolescent,Male,9,13,600,45,11,0.9,0.9,12,1,300,1.8,1300,0.7,8,240,1250,40,8,.
9,Adolescent,Male,14,18,900,75,15,1.2,1.3,16,1.3,400,2.4,1300,0.89,11,410,1250,55,11,.
10,Adult,Male,19,30,900,90,15,1.2,1.3,16,1.3,400,2.4,1000,0.9,8,400,700,55,11,.
11,Adult,Male,31,50,900,90,15,1.2,1.3,16,1.3,400,2.4,1000,0.9,8,420,700,55,11,.
12,Adult,Male,51,69,900,90,15,1.2,1.3,16,1.7,400,2.4,1000,0.9,8,420,700,55,11,.
13,Older Adult,Male,70,.,900,90,15,1.2,1.3,16,1.7,400,2.4,1200,0.9,8,420,700,55,11,.
14,Adolescent,Female,9,13,600,45,11,0.9,0.9,12,1,300,1.8,1300,0.7,8,240,1250,40,8,.
15,Adolescent,Female,14,18,700,65,15,1,1,14,1.2,400,2.4,1300,0.89,15,360,1250,55,9,.
16,Adult,Female,19,30,700,75,15,1.1,1.1,14,1.3,400,2.4,1000,0.9,18,310,700,55,8,.
17,Adult,Female,31,50,700,75,15,1.1,1.1,14,1.3,400,2.4,1000,0.9,18,320,700,55,8,.
18,Adult,Female,51,69,700,75,15,1.1,1.1,14,1.5,400,2.4,1200,0.9,8,320,700,55,8,.
19,Older Adult,Female,70,.,700,75,15,1.1,1.1,14,1.5,400,2.4,1200,0.9,8,320,700,55,8,.
20,Pregnancy,Female,14,18,750,80,15,1.4,1.4,18,1.9,600,2.6,1300,1,27,400,1250,60,12,.
21,Pregnancy,Female,19,30,770,85,15,1.4,1.4,18,1.9,600,2.6,1000,1,27,250,700,60,11,.
22,Pregnancy,Female,31,50,770,85,15,1.4,1.4,18,1.9,600,2.6,1000,1,27,360,700,60,11,.
23,Lactation,Female,14,18,1200,115,19,1.4,1.6,17,2,500,2.8,1300,1.3,10,360,1250,70,13,.
24,Lactation,Female,19,30,1300,120,19,1.4,1.6,17,2,500,2.8,1000,1.3,9,310,700,70,12,.
25,Lactation,Female,31,50,1300,120,19,1.4,1.6,17,2,500,2.8,1000,1.3,9,320,700,70,12,.
