year,median_weight_boys,median_weight_girls,median_height_boys,median_height_girls
5,21.19,21.30,112.65,111.92
6,23.78,23.84,118.63,117.74
7,26.73,26.74,124.31,123.43
8,29.78,30.24,129.71,129.25
9,33.24,34.32,134.97,135.29
10,37.04,39.06,140.17,141.52
11,41.63,44.63,145.74,147.92
12,47.34,50.49,152.15,153.79
13,54.24,55.90,159.40,158.16
14,61.63,60.13,166.06,160.81
15,67.82,62.97,170.98,162.15
16,72.77,64.72,174.13,162.70
17,76.27,65.86,175.73,162.96
18,78.70,66.52,176.37,163.12
19,79.79,66.82,176.54,163.16
